_index, 1 : FAIL : Non-zero status code returned while running BatchNormalization node. Name:'model/stages/stages.0/blocks/blocks.0/attn/qkv/bn/BatchNormalization' Status Message: CUDNN failure 9: CUDNN_STATUS_NOT_SUPPORTED ; GPU=0 ; hostname=0be4921fd572 ; file=/onnxruntime_src/onnxruntime/core/providers/cuda/nn/batch_norm.cc ; line=125 ; expr=BatchNormalizationForwardInferenceHelper( GetCudnnHandle(p_op_kernel_context), 6 : RUNTIME_EXCEPTION : Exception during initialization: /onnxruntime_src/onnxruntime/core/providers/cuda/nn/batch_norm.h:44 onnxruntime::cuda::BatchNorm<T,DATE,ERR_export,ERR_ort,ERR_warmup,ERR_warmup_eager,ITER,TIME_ITER,capability,cpu,date_start,device,device_name,discrepancies_abs,discrepancies_rel,dtype,dump_folder,dump_ort,dynamic,executable,exporter,filename,flag_fake_tensor,flag_no_grad,flag_training,has_cuda,input_size,machine,mema_gpu_0_before_loading,mema_gpu_1_after_loading,mema_gpu_2_after_warmup,mema_gpu_3_empty_cache,mema_gpu_4_after_repeat,mema_gpu_4_reset,mema_gpu_5_after_export,mema_gpu_6_after_gcollect,mema_gpu_6_before_session,mema_gpu_7_after_session,mema_gpu_8_after_export_warmup,mema_gpu_9_after_export_repeat,memory_begin,memory_end,memory_gpu0_begin,memory_gpu0_end,memory_gpu0_mean,memory_gpu0_n,memory_gpu0_peak,memory_gpu1_begin,memory_gpu1_end,memory_gpu1_mean,memory_gpu1_n,memory_gpu1_peak,memory_gpu2_begin,memory_gpu2_end,memory_gpu2_mean,memory_gpu2_n,memory_gpu2_peak,memory_gpu3_begin,memory_gpu3_end,memory_gpu3_mean,memory_gpu3_n,memory_gpu3_peak,memory_gpu4_begin,memory_gpu4_end,memory_gpu4_mean,memory_gpu4_n,memory_gpu4_peak,memory_gpu5_begin,memory_gpu5_end,memory_gpu5_mean,memory_gpu5_n,memory_gpu5_peak,memory_gpu6_begin,memory_gpu6_end,memory_gpu6_mean,memory_gpu6_n,memory_gpu6_peak,memory_gpu7_begin,memory_gpu7_end,memory_gpu7_mean,memory_gpu7_n,memory_gpu7_peak,memory_mean,memory_n,memory_peak,model,model_name,nvtx,onnx_filesize,onnx_input_names,onnx_model,onnx_n_functions,onnx_n_initializer,onnx_n_inputs,onnx_n_nodes,onnx_n_outputs,onnx_n_sequence,onnx_n_sparse_initializer,onnx_optimized,onnx_output_names,op_onnx_Add,op_onnx_AveragePool,op_onnx_BatchNormalization,op_onnx_Cast,op_onnx_Ceil,op_onnx_Clip,op_onnx_Concat,op_onnx_Constant,op_onnx_ConstantOfShape,op_onnx_Conv,op_onnx_Cos,op_onnx_Div,op_onnx_Equal,op_onnx_Erf,op_onnx_Expand,op_onnx_Flatten,op_onnx_Gather,op_onnx_Gemm,op_onnx_GlobalAveragePool,op_onnx_HardSigmoid,op_onnx_HardSwish,op_onnx_Identity,op_onnx_InstanceNormalization,op_onnx_LayerNormalization,op_onnx_LeakyRelu,op_onnx_MatMul,op_onnx_MaxPool,op_onnx_Mod,op_onnx_Mul,op_onnx_Pad,op_onnx_Range,op_onnx_ReduceL2,op_onnx_ReduceMean,op_onnx_ReduceSum,op_onnx_Relu,op_onnx_Reshape,op_onnx_Resize,op_onnx_Shape,op_onnx_Sigmoid,op_onnx_Sin,op_onnx_Slice,op_onnx_Softmax,op_onnx_Split,op_onnx_Sqrt,op_onnx_Squeeze,op_onnx_Sub,op_onnx_Tile,op_onnx_Transpose,op_onnx_Unsqueeze,op_onnx_Where,op_onnx_initializer,op_onnx_sparse_initializer,opt_patterns,output_data,output_size,params_dtype,params_size,part,processor,providers,quiet,repeat,speedup,speedup_increase,speedup_med,split_process,start,suite,target_opset,time_export,time_export_success,time_latency,time_latency_eager,time_latency_eager_t_max,time_latency_eager_t_med,time_latency_eager_t_min,time_latency_eager_t_qu,time_latency_eager_t_std,time_latency_t_max,time_latency_t_med,time_latency_t_min,time_latency_t_qu,time_latency_t_std,time_load,time_session,time_total,time_warmup,time_warmup_eager,verbose,version,version_onnx,version_onnxruntime,version_onnxscript,version_torch,version_transformers,warmup,ERROR,OUTPUT,CMD
beit_base_patch16_224-script,,,2024-07-24,,,,,0,17.03917250400002,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.01416015625,3.705078125,float16,.onnx_models,0,0,python,script,beit_base_patch16_224-script-cuda-torch.float16/model.onnx,False,True,False,True,9633792,x86_64,0,466023424,466023424.0,466023424.0,466023424.0,216771072.0,430287360.0,28705280.0,28705280.0,28705280.0,28705280.0,28705280.0,996.33203125,1262.08203125,273.9375,273.9375,273.9375,232.0,273.9375,1279.5625,1279.5625,1279.5625,232.0,1279.5625,277.5625,277.5625,277.5625,232.0,277.5625,273.9375,273.9375,273.9375,232.0,273.9375,273.9375,273.9375,273.9375,232.0,273.9375,273.9375,273.9375,273.9375,232.0,273.9375,273.9375,273.9375,273.9375,232.0,273.9375,273.9375,273.9375,273.9375,232.0,273.9375,1187.5599744073277,232.0,1,beit_base_patch16_224,beit_base_patch16_224,0,173549371.0,input.1,1.0,0.0,199.0,1.0,1079.0,1.0,0.0,0.0,0.0,1302.0,96.0,,,36.0,,,39.0,309.0,1.0,1.0,,24.0,1.0,12.0,1.0,,12.0,1.0,,,,,,25.0,,72.0,,,73.0,,,,1.0,,,38.0,,14.0,,,14.0,12.0,12.0,36.0,36.0,,,97.0,115.0,1.0,199.0,0.0,,,64000.0,float16,86530984.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,0.6909489759307211,-0.30905102406927887,0.82292681861424,0,0,Timm,18,2.375054296999906,2.3750951969999505,0.05373117556665648,0.03712550073333508,0.04440666699997564,0.04421496549997528,0.008153686000014204,0.008153686000014204/0.008217125999988185/0.03716109119998239/0.04415655469995272/0.044181425000010675/0.04421496549997528/0.044272866000028444/0.04430403630002502/0.04434518620003018/0.04436840710001207/0.04440666699997564,0.014272940496903558,0.05396076800002447,0.05372891549995984,0.05341626199992788,0.05341626199992788/0.053583223999987696/0.05362612420003643/0.053676234999954886/0.053711365999993176/0.05372891549995984/0.05375008540002/0.05378895599995985/0.053850226999998085/0.05388344790002293/0.05396076800002447,0.00012130076602919204,3.258440692000022,0.9178856610000139,11.127291411999977,0.06690963429999783,0.040956560999995874,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:25:51_866] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model beit_base_patch16_224 --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output"
botnet26t_256-script,,,2024-07-24,,,,,1,13.959036891999972,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.0185546875,8.578125,float16,.onnx_models,0,0,python,script,botnet26t_256-script-cuda-torch.float16/model.onnx,False,True,False,True,25165824,x86_64,0,352094720,1092524032.0,1092524032.0,1092524032.0,85890560.0,1092524032.0,58852352.0,58852352.0,58852352.0,58852352.0,58852352.0,1023.39453125,1119.56640625,273.9375,273.9375,273.9375,84.0,273.9375,2395.5625,2395.5625,2395.5625,84.0,2395.5625,277.5625,277.5625,277.5625,84.0,277.5625,273.9375,273.9375,273.9375,84.0,273.9375,273.9375,273.9375,273.9375,84.0,273.9375,273.9375,273.9375,273.9375,84.0,273.9375,273.9375,273.9375,273.9375,84.0,273.9375,273.9375,273.9375,273.9375,84.0,273.9375,1051.9364769345239,84.0,1,botnet26t_256,botnet26t_256,0,25306225.0,input.1,1.0,0.0,163.0,1.0,1106.0,1.0,0.0,0.0,0.0,1307.0,14.0,1.0,31.0,24.0,,,66.0,419.0,18.0,31.0,,,6.0,,6.0,7.0,12.0,1.0,1.0,,,,,,,12.0,1.0,,21.0,12.0,,,,,27.0,66.0,,18.0,,,24.0,3.0,3.0,,,12.0,,36.0,228.0,6.0,163.0,0.0,,,128000.0,float16,12488672.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,0.8680554125279127,-0.13194458747208726,0.9817890421625837,0,0,Timm,18,0.8435742780000055,0.8436049780000303,0.04610437823332632,0.040021155066672996,0.04534016699994936,0.04526286550003533,0.005610057000012603,0.005610057000012603/0.0073838665000266705/0.04524900580004214/0.04525807599999325/0.045261565600026185/0.04526286550003533/0.04527224599996771/0.04528168600007802/0.04529506599992601/0.04530959600000415/0.04534016699994936,0.013221487047426194,0.046181885999999395,0.04610243500002298,0.046053983999968295,0.046053983999968295/0.04606727489998548/0.04607636500002173/0.04608356470000672/0.046098965000010136/0.04610243500002298/0.04611090500004593/0.04611400499996989/0.04612676499998543/0.0461445149999463/0.046181885999999395,3.070420765264545e-05,0.7439246530000219,0.17980194999995547,8.004062699999963,0.2559338260000004,0.04908781489999683,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:26:09_866] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model botnet26t_256 --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data """""
cait_m36_384-script,,,2024-07-24,,,,,2,37.10607076400004,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.015625,2.828125,float16,.onnx_models,0,0,python,script,cait_m36_384-script-cuda-torch.float16/model.onnx,False,True,False,True,1769472,x86_64,0,1107655680,1107655680.0,1107655680.0,1107655680.0,585731584.0,739085824.0,12976640.0,12976640.0,12976640.0,12976640.0,12976640.0,1002.32421875,1648.55859375,273.9375,273.9375,273.9375,773.0,273.9375,1699.5625,1699.5625,1699.5625,773.0,1699.5625,277.5625,277.5625,277.5625,773.0,277.5625,273.9375,273.9375,273.9375,773.0,273.9375,273.9375,273.9375,273.9375,773.0,273.9375,273.9375,273.9375,273.9375,773.0,273.9375,273.9375,273.9375,273.9375,773.0,273.9375,273.9375,273.9375,273.9375,773.0,273.9375,1375.4708370391334,773.0,1,cait_m36_384,cait_m36_384,0,542932903.0,input.1,1.0,0.0,692.0,1.0,2788.0,1.0,0.0,0.0,0.0,3480.0,341.0,,,6.0,,,85.0,644.0,1.0,1.0,,40.0,1.0,38.0,1.0,,111.0,3.0,,,,,,77.0,,302.0,,,193.0,,,,,,,82.0,,4.0,,,3.0,38.0,,6.0,,,,487.0,323.0,1.0,692.0,0.0,,,4000.0,float16,271221352.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,1.6502467605917635,0.6502467605917635,1.7005028658732584,0,0,Timm,18,7.910927842000092,7.910974942000053,0.08405079273332679,0.13870454843334226,0.14304399000002377,0.14284398800003828,0.036608380999950896,0.036608380999950896/0.14278131839995467/0.14279872699999033/0.1428054333000091/0.1428381996000553/0.14284398800003828/0.1428535880000254/0.1428582779999715/0.1428723282000192/0.142905788999974/0.14304399000002377,0.019238561048941283,0.08496378799998183,0.08400102749999405,0.08394383499989999,0.08394383499989999/0.08395105489994421/0.08396483500000614/0.0839788573000078/0.08398468019997836/0.08400102749999405/0.08401071499999943/0.08402779790002342/0.08408489599996756/0.08413841960002628/0.08496378799998183,0.00018384442469003342,10.314804804999994,2.7597004380000953,31.157589321000046,0.0977298616999974,0.1474889562000044,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:26:24_824] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model cait_m36_384 --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data """" "
coat_lite_mini-script,,,2024-07-24,,,,,3,15.315532093000002,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.0078125,2.572265625,float16,.onnx_models,0,0,python,script,coat_lite_mini-script-cuda-torch.float16/model.onnx,False,True,False,True,19267584,x86_64,0,276847616,1049474560.0,1049474560.0,1049474560.0,69842432.0,1101903360.0,47055872.0,47055872.0,47055872.0,47055872.0,47055872.0,1053.15234375,1143.9140625,273.9375,273.9375,273.9375,116.0,273.9375,2161.5625,2161.5625,2161.5625,116.0,2161.5625,277.5625,277.5625,277.5625,116.0,277.5625,273.9375,273.9375,273.9375,116.0,273.9375,273.9375,273.9375,273.9375,116.0,273.9375,273.9375,273.9375,273.9375,116.0,273.9375,273.9375,273.9375,273.9375,116.0,273.9375,273.9375,273.9375,273.9375,116.0,273.9375,1078.4309334590516,116.0,1,coat_lite_mini,coat_lite_mini,0,22336070.0,x.1,1.0,0.0,152.0,1.0,1640.0,1.0,0.0,0.0,0.0,1825.0,72.0,,,16.0,,,87.0,621.0,12.0,36.0,,8.0,4.0,8.0,4.0,,9.0,1.0,,,,,,21.0,,48.0,,,44.0,8.0,,,,,,75.0,,24.0,,,55.0,8.0,16.0,,24.0,8.0,,103.0,324.0,4.0,152.0,0.0,,,128000.0,float16,11011560.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,0.7726884807002812,-0.22731151929971882,0.8583567727072039,0,0,Timm,18,1.1802652019999869,1.1802969020000091,0.05429919259999754,0.04195636063334405,0.04675278699994578,0.04658818549995658,0.0113572180000574,0.0113572180000574/0.014207198700080427/0.04647814459999609/0.046531904999983456/0.04657680560007975/0.04658818549995658/0.046609805999969466/0.04663763630004496/0.04665944620001028/0.04668145609996373/0.04675278699994578,0.011704168919141653,0.0545912690000705,0.054276015499965524,0.05415346400002363,0.05415346400002363/0.05424279499993645/0.05424998579999283/0.054253844999936976/0.05425766559997101/0.054276015499965524/0.054293825999980075/0.05432016670000621/0.05433498600002622/0.054369787000030104/0.0545912690000705,8.054891306403363e-05,0.7056246610000017,0.25978650799993375,9.304728691999912,0.3237759945999983,0.048948500599999535,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:27:02_996] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model coat_lite_mini --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data """
convit_base-script,,,2024-07-24,,,,expected mat1 and mat2 to have the same dtype_ but got: float != c10::Half,4,9.189677265,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,,,float16,.onnx_models,0,0,python,script,,False,True,False,True,9633792,x86_64,0,462303232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,convit_base,convit_base,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,float16,86540040.0,,x86_64,,1,30,,,,0,0,Timm,18,,,,,,,,,,,,,,,3.0197977020000053,,3.16882315700002,,0.01462255249999771,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:27:19_348] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model convit_base --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data """" -"
convmixer_768_32-script,,,2024-07-24,,,,,5,33.161952842999995,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.0087890625,0.00917816162109375,float16,.onnx_models,0,0,python,script,convmixer_768_32-script-cuda-torch.float16/model.onnx,False,True,False,True,4816896,x86_64,0,142677504,266273792.0,266273792.0,266273792.0,64941056.0,266273792.0,18153984.0,18153984.0,18153984.0,18153984.0,18153984.0,1013.5703125,1094.74609375,273.9375,273.9375,273.9375,200.0,273.9375,1013.5625,1013.5625,1013.5625,200.0,1013.5625,277.5625,277.5625,277.5625,200.0,277.5625,273.9375,273.9375,273.9375,200.0,273.9375,273.9375,273.9375,273.9375,200.0,273.9375,273.9375,273.9375,273.9375,200.0,273.9375,273.9375,273.9375,273.9375,200.0,273.9375,273.9375,273.9375,273.9375,200.0,273.9375,1052.40955078125,200.0,1,convmixer_768_32,convmixer_768_32,0,42500071.0,input.1,1.0,0.0,392.0,1.0,230.0,1.0,0.0,0.0,0.0,687.0,32.0,,65.0,,,,,,,65.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,392.0,0.0,,,32000.0,float16,21110248.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,1.3206667025778278,0.3206667025778278,1.446739147766966,0,0,Timm,18,2.035108437999952,2.035169537999991,0.07572809276667461,0.10001157056667201,0.10951753599999847,0.10946793499999785,0.007422677000022304,0.007422677000022304/0.10138297160004871/0.10945445499996823/0.10945607530005645/0.10946279560000675/0.10946793499999785/0.10947093540000878/0.10948296500006335/0.10948609579993444/0.10951108510000722/0.10951753599999847,0.028561225157600706,0.076533497000014,0.07566528849997667,0.07562518800000362,0.07562518800000362/0.07563554900006011/0.07564226800002416/0.0756506487000479/0.07565644840001369/0.07566528849997667/0.07567710840003201/0.07569532929999241/0.07572272920001524/0.07581881099998782/0.076533497000014,0.00018894555780966514,0.8119491209999978,0.132960689000015,27.18452266700001,1.7245295492999957,0.09709253700000317,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:27:29_603] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model convmixer_768_32 --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data"
convnext_base-script,,,2024-07-24,,,,,6,27.173606930999995,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.00341796875,2.0234375,float16,.onnx_models,0,0,python,script,convnext_base-script-cuda-torch.float16/model.onnx,False,True,False,True,15925248,x86_64,0,545994240,1154036224.0,1154036224.0,1154036224.0,217657856.0,1154036224.0,40370688.0,40370688.0,40370688.0,40370688.0,40370688.0,955.87109375,1179.7109375,273.9375,273.9375,273.9375,256.0,273.9375,2161.5625,2161.5625,2161.5625,256.0,2161.5625,277.5625,277.5625,277.5625,256.0,277.5625,273.9375,273.9375,273.9375,256.0,273.9375,273.9375,273.9375,273.9375,256.0,273.9375,273.9375,273.9375,273.9375,256.0,273.9375,273.9375,273.9375,273.9375,256.0,273.9375,273.9375,273.9375,273.9375,256.0,273.9375,1123.885009765625,256.0,1,convnext_base,convnext_base,0,177382342.0,input.1,1.0,0.0,344.0,1.0,814.0,1.0,0.0,0.0,0.0,1158.0,144.0,,,,,,,144.0,,40.0,,36.0,,36.0,,1.0,,1.0,1.0,,,,,41.0,,72.0,,,108.0,,,,,,,36.0,,,,,,,,,,,,154.0,,,344.0,0.0,,,64000.0,float16,88591464.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,0.8357157959591911,-0.1642842040408089,0.9348372977693341,0,0,Timm,18,2.6132406259999925,2.613285626999982,0.08982445443333138,0.07506771543335163,0.08443388000000596,0.08394202450000421,0.012064826000028006,0.012064826000028006/0.02552981599995974/0.08383809299998575/0.08387138400000822/0.08389805400008754/0.08394202450000421/0.08397889500001839/0.08401070499994603/0.08405645599998479/0.08408957610009793/0.08443388000000596,0.022820653237068618,0.09028634599997076,0.08979319150006404,0.08934003599995322,0.08934003599995322/0.08956823999993731/0.08969425600002978/0.08972100029994863/0.08975014159996135/0.08979319150006404/0.08983288200004154/0.0899030022999682/0.09004024419996312/0.09014786590000767/0.09028634599997076,0.0002290455694546553,3.577007492000007,0.9842256539999426,21.10195442899999,0.7376680041999976,0.07347049590000551,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:28:03_829] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model convnext_base --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data """""
crossvit_9_240-script,,,2024-07-24,,,,,7,13.390327100999912,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.015625,2.353515625,float16,.onnx_models,0,0,python,script,crossvit_9_240-script-cuda-torch.float16/model.onnx,False,True,False,True,44236800,x86_64,0,565580288,565580288.0,565580288.0,565580288.0,114118656.0,477450240.0,96995328.0,96995328.0,96995328.0,96995328.0,96995328.0,1038.8125,1129.16015625,273.9375,273.9375,273.9375,129.0,273.9375,1185.5625,1185.5625,1185.5625,129.0,1185.5625,277.5625,277.5625,277.5625,129.0,277.5625,273.9375,273.9375,273.9375,129.0,273.9375,273.9375,273.9375,273.9375,129.0,273.9375,273.9375,273.9375,273.9375,129.0,273.9375,273.9375,273.9375,273.9375,129.0,273.9375,273.9375,273.9375,273.9375,129.0,273.9375,1060.9897650193798,129.0,1,crossvit_9_240,crossvit_9_240,0,17444647.0,x,1.0,0.0,267.0,1.0,1804.0,1.0,0.0,0.0,0.0,2097.0,140.0,,,37.0,,,68.0,562.0,2.0,2.0,,36.0,2.0,24.0,2.0,,2.0,2.0,,,,1.0,,44.0,,120.0,,,80.0,,,,1.0,,,52.0,1.0,17.0,,,45.0,18.0,12.0,36.0,36.0,,,146.0,314.0,2.0,267.0,0.0,,,256000.0,float16,8553296.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,0.6109132635322146,-0.38908673646778535,0.6949919667368277,0,0,Timm,18,1.311211567999976,1.311283769000056,0.061651069333333905,0.037663455966677854,0.04313125000010132,0.04284944649998579,0.011439218999953482,0.011439218999953482/0.01166892179998058/0.042678665000016734/0.04270921500000213/0.04282866700000341/0.04284944649998579/0.04287638700000116/0.04288773700001229/0.04289984699996694/0.042930808000051/0.04313125000010132,0.011613018135420193,0.061847345000046516,0.06165459250007643,0.06149234100007561,0.06149234100007561/0.061520081899993785/0.06155632180000339/0.06161393270001554/0.0616427623999698/0.06165459250007643/0.06167826300002162/0.06170289329996877/0.0617143832000238/0.06174100309995083/0.061847345000046516,9.253402015846842e-05,0.7238006459999724,0.28023032100009004,7.267623060000005,0.08357189119999475,0.04314572970000654,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:28:32_319] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model crossvit_9_240 --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data """
cspdarknet53-script,,,2024-07-24,,,,,8,14.252919600000041,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.017578125,5.625,float16,.onnx_models,0,0,python,script,cspdarknet53-script-cuda-torch.float16/model.onnx,False,True,False,True,12582912,x86_64,0,262670336,1300057088.0,1300057088.0,1300057088.0,92096512.0,1300057088.0,33686016.0,33686016.0,33686016.0,33686016.0,33686016.0,1000.6328125,1096.08203125,273.9375,273.9375,273.9375,108.0,273.9375,2019.5625,2019.5625,2019.5625,108.0,2019.5625,277.5625,277.5625,277.5625,108.0,277.5625,273.9375,273.9375,273.9375,108.0,273.9375,273.9375,273.9375,273.9375,108.0,273.9375,273.9375,273.9375,273.9375,108.0,273.9375,273.9375,273.9375,273.9375,108.0,273.9375,273.9375,273.9375,273.9375,108.0,273.9375,1052.58203125,108.0,1,cspdarknet53,cspdarknet53,0,55448914.0,input.1,1.0,0.0,337.0,1.0,242.0,1.0,0.0,0.0,0.0,651.0,23.0,,67.0,,,,5.0,5.0,,67.0,,,,,,1.0,,1.0,1.0,,,,,,67.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,337.0,0.0,,,64000.0,float16,27642184.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,0.9424405626069479,-0.05755943739305214,1.0098140931116049,0,0,Timm,18,1.092085576000045,1.0921117760000243,0.036465809866664735,0.0343668583666575,0.03702258199996322,0.03682107999998152,0.009048694000057367,0.009048694000057367/0.034810029299990226/0.03675451919993975/0.03678646999999273/0.03680235999995603/0.03682107999998152/0.036844020999978966/0.036871051000025544/0.03688978099999076/0.03695567099998698/0.03702258199996322,0.007534821719440798,0.036573177000036594,0.036463226499961365,0.03640867600006459,0.03640867600006459/0.03642107600003328/0.03643699600006585/0.03645608699995364/0.03645947600005002/0.036463226499961365/0.03646859639998183/0.03647665669993785/0.036488396999948235/0.03649503699998604/0.036573177000036594,3.4568327986679007e-05,1.0580910290000247,0.30047440299995287,8.286697226000001,0.2660411569000075,0.04722715230000176,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:28:46_809] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model cspdarknet53 --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float16 --output_data """" "
deit_base_distilled_patch16_224-script,,,2024-07-24,,,,,9,16.54997665499991,7.0,40,2024-07-24,cuda,Tesla V100-SXM2-32GB,0.013671875,3.486328125,float16,.onnx_models,0,0,python,script,deit_base_distilled_patch16_224-script-cuda-torch.float16/model.onnx,False,True,False,True,9633792,x86_64,0,465483776,465483776.0,465483776.0,465483776.0,215100416.0,467938304.0,28705280.0,28705280.0,28705280.0,28705280.0,28705280.0,914.7734375,1159.1640625,273.9375,273.9375,273.9375,199.0,273.9375,1317.5625,1393.5625,1392.0348618090452,199.0,1393.5625,277.5625,277.5625,277.5625,199.0,277.5625,273.9375,273.9375,273.9375,199.0,273.9375,273.9375,273.9375,273.9375,199.0,273.9375,273.9375,273.9375,273.9375,199.0,273.9375,273.9375,273.9375,273.9375,199.0,273.9375,273.9375,273.9375,273.9375,199.0,273.9375,1067.337115263819,199.0,1,deit_base_distilled_patch16_224,deit_base_distilled_patch16_224,0,174833620.0,input.1,1.0,0.0,155.0,1.0,959.0,1.0,0.0,0.0,0.0,1138.0,86.0,,,36.0,,,28.0,274.0,2.0,1.0,,25.0,2.0,12.0,2.0,,2.0,2.0,,,,,,25.0,,72.0,,,50.0,,,,,,,27.0,,15.0,,,13.0,12.0,12.0,36.0,36.0,,,85.0,102.0,2.0,155.0,0.0,,,64000.0,float16,87338192.0,,x86_64,CUDAExecutionProvider/CPUExecutionProvider,1,30,0.6146577905286583,-0.3853422094713417,0.8258997394130266,0,0,Timm,18,2.039338783000062,2.039372983000021,0.05064052856665739,0.031126595399985035,0.042147930999931305,0.04177637749995711,0.005673157999922296,0.005673157999922296/0.005701958899976489/0.00574749900004008/0.03133264100002859/0.0416904669999667/0.04177637749995711/0.04185292839997601/0.04189541899996811/0.04195632999994814/0.042077570100013874/0.042147930999931305,0.016430974800621116,0.051550427999927706,0.05058286799999223,0.05031271600000764,0.05031271600000764/0.0504276868999682/0.05049105779996808/0.050526726999987656/0.05056687739997869/0.05058286799999223/0.0505989179999915/0.05063289830001168/0.05074279979994571/0.0508068301000435/0.051550427999927706,0.0002570505741191588,3.0996972090000554,0.873213741000086,10.21349735299998,0.06348750010000685,0.023818903899996257,1,3.11.9,1.16.1,1.18.0,0.1.0.dev20240723,2.5.0.dev20240723+cu118,4.43.1,10,site-pack,[2024-07-24 04:29:02_132] [] bb_,"[python -m bb.bb_timm --repeat 30 --warmup 10 --model deit_base_distilled_patch16_224 --exporter script --device cuda --dynamic 0 --target_opset 18 --verbose 1 --opt_patterns """" --dump_folder .onnx_models --quiet 1 --start 0 --dtype float1"
